"Class? (MATH 143, PSY 202, etc)",Book Title,Book Author,Edition,Link,ISBN
ARCH 341/342/307,The Architect's Studio Companion,"Edward Allen, Joseph Iano",5th,https://ia600201.us.archive.org/0/items/The_Architects_Studio_Companion_Rules_of_Thumb_for_Preliminary_Design_5th_Editio/The_Architects_Studio_Companion_Rules_of_Thumb_for_Preliminary_Design_5th_Edition_by_Edward_Allen_Joseph_Iano.pdf,
ART 102,Design Basics,"Stephan Pentak, David A. Lauer",9,https://drive.google.com/open?id=1XPw9-JxbkVn1FIp0QIbK37qVEjsNUhuY,
ART 212,Fourteenth to Seventeenth Century Art,Marilyn Stokstad,5th Edition,https://www.pearsonhighered.com/assets/preface/0/2/0/5/0205873782.pdf,9780205873784
ART 260,The AIGA Guide to Careers in Graphic and Communication Design,Juliette Cezzar,1st,https://drive.google.com/file/d/1o-wJ-13T0lxI24ylBl2LKOCHvT9K8f2I/view?usp=sharing,
ART 314,The Photograph as Contemporary Art (World of Art),Charlotte Cotton,4,https://drive.google.com/open?id=1YNXg2jWoFY_JyvUgnVH8XYSS1fJ17eGD,9780500204481
ART 370,The Life of Michelangelo,Ascanio Condivi,2,https://www2.gwu.edu/~art/Temporary_SL/129%3A255/Readings/Condivi_Michelangelo.pdf,
ART 370,Michelangelo,Howard Hibbard,2,https://drive.google.com/open?id=1ROJxhs7wIo9vpw6kERilmJ2K-D3B2IFo,
ASCI 229,Clinical Anatomy & Physiology for Veterinary Technicians,Thomas P. Colville,3,https://drive.google.com/open?id=1GalxEnwNlBUwobRp_KM2JPpd9LF07HRi,9780323227933
ASCI 229,Clinical Anatomy and Physiology for Veterinary Technicians,Thomas Colville and Joanna Bassert,3rd,https://handoutset.com/wp-content/uploads/2022/03/Clinical-Anatomy-and-Physiology-for-Veterinary-Technicians-by-Thomas-Colville-Joanna-M.-Bassert.pdf,9780323227933
ASCI 346,Nutrient Requirements of Horses,National Research Council,,https://drive.google.com/open?id=1_T85j3ZgnDmlmXMEXDj3zd4oNuuGVr1-,
ASCI 351,Pathways to Pregnancy and Parturition,P. L. Senger,3rd,https://drive.google.com/file/d/15tAVJ8L0bseRvXBf4QkyPnh3O1532QUK/view,
ASCI 366,Fundamentals of Pharmacology for Veterinary Technicians,Romich,3,https://drive.google.com/open?id=1GibRrABnyPPCKQAD44kr4RqGOn6kYxlc,9780357361474
ASCI 405,Endocrine and Reproductive Physiology,White and Porterfield,4,file:///C:/Users/17149/OneDrive/Desktop/textbooks/Endocrine_and_Reproductive_Physiology.pdf,9780323087049
ASCI 438,Human Physiology: From Cells to Systems,Sherwood,9,https://drive.google.com/open?id=1_gRlB7e0PmbsREijtf1sA39n_IGGCIPj,9781285866932
ASCI 440,Veterinary Immunology: Principles and Practice,Michael J. Day,2nd,https://drive.google.com/file/d/1m1LFJWb3yfwjti_-gOQKLk31WDvYGev7/view?usp=sharing,
ASTR 101,Astronomy,"Andrew Fraknoi, David Morrison, Sidney C. Wolff",,https://drive.google.com/open?id=1eqSkUgsvFLkxKpua-mrLXeTX6Hdjvr1t,
ASTR 101,How To Read the Solar System,Chris North and Paul Abel,,https://drive.google.com/open?id=1jptknCPBgaxByFFLmqjYEUNPzh3kbRGd,
ASTR 302,Foundations of Astrophysics,Ryden,1,https://u1lib.org/book/17188330/0aceff,
ASTR101,Lecture Tutorials for Introductory Astronomy,Prather et al.,4th,https://drive.google.com/file/d/1Rs7WsE3zCw2YciiD8ZbIhkTpMjCsvAgH/view?usp=sharing,9780135807026
ASTRO 326,Introduction to Cosmology,Barbra Ryden,2,https://sites.astro.caltech.edu/~george/ay21/readings/Ryden_IntroCosmo.pdf,
BIO 111,Essential Biology,"Simon, Dickey, Reece",,https://drive.google.com/open?id=1hr3RhFiVVCQQzDjSwHq_eBdJKJPXAmkz,
BIO 1110,Campbell Essential Biology,"Simon, Dickey, and Reece",5th,http://93.174.95.29/main/2258000/cee04ba3250719ff9deb74dc3e3c55a6/Simon%20et%20al.%20-%20Campbell%20Essential%20Biology.pdf,9781292038674
BIO 112,Essential Environment The Science Behind the Stories,Jay Withgott and Matthew Laposata,5,https://drive.google.com/open?id=1I_0KxkHM-STAl3Vwj0m4iHHdEFY44R3p,
BIO 114,Botany for Gardeners,Brian Capon,3,https://libgen.is/book/index.php?md5=6F015913920EDF83922EC91B5FCDFCF7,
"BIO 160, 161, 162",Biological Sciences,Freeman,6,https://drive.google.com/file/d/1hypOX44eWeTq8bdmLLIYcaOJXPSpjunV/view?usp=sharing,
BIO 161,Biological Science,Freeman,7,https://drive.google.com/open?id=1Cu6K-8vm4ebfW5cuK9dg0Enx5XJKvS8U,9780135934302
